"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Galactose metabolism	KEGG PATHWAY	hsa00052	1	31	0.132052258	0.180890932	PGM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00052/hsa:5236%09red
Asthma	KEGG PATHWAY	hsa05310	1	31	0.132052258	0.180890932	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05310/hsa:7124%09red
Circadian rhythm	KEGG PATHWAY	hsa04710	1	31	0.132052258	0.180890932	NPAS2	http://www.genome.jp/kegg-bin/show_pathway?hsa04710/hsa:4862%09red
Inwardly rectifying K+ channels	Reactome	R-HSA-1296065	1	31	0.132052258	0.180890932	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296065
Transport of the SLBP independent Mature mRNA	Reactome	R-HSA-159227	1	31	0.132052258	0.180890932	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159227
Activated NOTCH1 Transmits Signal to the Nucleus	Reactome	R-HSA-2122948	1	31	0.132052258	0.180890932	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2122948
Rev-mediated nuclear export of HIV RNA	Reactome	R-HSA-165054	1	31	0.132052258	0.180890932	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-165054
HATs acetylate histones	Reactome	R-HSA-3214847	2	142	0.133273279	0.182304215	KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214847
Nuclear Pore Complex (NPC) Disassembly	Reactome	R-HSA-3301854	1	32	0.13588669	0.185090357	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3301854
Signaling by FGFR1 in disease	Reactome	R-HSA-5655302	1	32	0.13588669	0.185090357	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655302
@@Signaling by FGFR1	Reactome	R-HSA-5654736	1	42	0.173316676	0.219034066	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654736
Transport of the SLBP Dependant Mature mRNA	Reactome	R-HSA-159230	1	32	0.13588669	0.185090357	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159230
Clathrin-mediated endocytosis	Reactome	R-HSA-8856828	2	145	0.13775769	0.187373807	COPS2|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856828
Formation of the HIV-1 Early Elongation Complex	Reactome	R-HSA-167158	1	33	0.139704278	0.188424677	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167158
Formation of the Early Elongation Complex	Reactome	R-HSA-113418	1	33	0.139704278	0.188424677	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-113418
Interactions of Rev with host cellular proteins	Reactome	R-HSA-177243	1	33	0.139704278	0.188424677	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-177243
Interactions of Vpr with host cellular proteins	Reactome	R-HSA-176033	1	33	0.139704278	0.188424677	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176033
"Inactivation, recovery and regulation of the phototransduction cascade"	Reactome	R-HSA-2514859	1	33	0.139704278	0.188424677	NMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2514859
Hemostasis	Reactome	R-HSA-109582	5	617	0.142006948	0.191262505	RAD51C|PIK3CA|SERPINB2|PIK3R3|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582
Phospholipase D signaling pathway	KEGG PATHWAY	hsa04072	2	148	0.142275005	0.191355907	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04072/hsa:5290%09red/hsa:8503%09red
p38 MAPK pathway	PANTHER	P05918	1	34	0.143505097	0.192472714	MAP3K4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05918
The phototransduction cascade	Reactome	R-HSA-2514856	1	34	0.143505097	0.192472714	NMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2514856
Organelle biogenesis and maintenance	Reactome	R-HSA-1852241	3	294	0.144469983	0.193497348	TRIP11|MAML2|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1852241
Prion diseases	KEGG PATHWAY	hsa05020	1	35	0.14728922	0.196453627	BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa05020/hsa:581%09red
Regulation of TP53 Degradation	Reactome	R-HSA-6804757	1	35	0.14728922	0.196453627	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804757
N-glycan trimming in the ER and Calnexin/Calreticulin cycle	Reactome	R-HSA-532668	1	35	0.14728922	0.196453627	VCP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-532668
Phagosome	KEGG PATHWAY	hsa04145	2	152	0.148346458	0.197590095	CD14|MBL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04145/hsa:929%09red/hsa:4153%09red
Extracellular matrix organization	Reactome	R-HSA-1474244	3	298	0.148586649	0.197636661	PLOD3|EFEMP2|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474244
Starch and sucrose metabolism	KEGG PATHWAY	hsa00500	1	36	0.15105672	0.199544062	PGM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00500/hsa:5236%09red
Regulation of TP53 Expression and Degradation	Reactome	R-HSA-6806003	1	36	0.15105672	0.199544062	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806003
Interleukin-7 signaling	Reactome	R-HSA-1266695	1	36	0.15105672	0.199544062	PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266695
PI3K Cascade	Reactome	R-HSA-109704	1	36	0.15105672	0.199544062	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109704
Hippo signaling pathway	KEGG PATHWAY	hsa04390	2	154	0.151401851	0.199726004	ID2|BIRC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:329%09red/hsa:3398%09red
Cushing syndrome	KEGG PATHWAY	hsa04934	2	155	0.152934262	0.201471538	E2F3|RB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04934/hsa:1871%09red/hsa:5925%09red
Primary immunodeficiency	KEGG PATHWAY	hsa05340	1	37	0.154807669	0.20282964	IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05340/hsa:8517%09red
African trypanosomiasis	KEGG PATHWAY	hsa05143	1	37	0.154807669	0.20282964	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05143/hsa:7124%09red
NS1 Mediated Effects on Host Pathways	Reactome	R-HSA-168276	1	37	0.154807669	0.20282964	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168276
Metalloprotease DUBs	Reactome	R-HSA-5689901	1	37	0.154807669	0.20282964	KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689901
Blood coagulation	PANTHER	P00011	1	38	0.15854214	0.205762912	SERPINB2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00011
Allograft rejection	KEGG PATHWAY	hsa05330	1	38	0.15854214	0.205762912	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05330/hsa:7124%09red
Molecules associated with elastic fibres	Reactome	R-HSA-2129379	1	38	0.15854214	0.205762912	EFEMP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2129379
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	Reactome	R-HSA-8950505	1	38	0.15854214	0.205762912	SERPINB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8950505
DNA Damage Recognition in GG-NER	Reactome	R-HSA-5696394	1	38	0.15854214	0.205762912	COPS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696394
Association of TriC/CCT with target proteins during biosynthesis	Reactome	R-HSA-390471	1	38	0.15854214	0.205762912	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390471
Transport of Mature mRNA Derived from an Intronless Transcript	Reactome	R-HSA-159231	1	38	0.15854214	0.205762912	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159231
DAP12 interactions	Reactome	R-HSA-2172127	1	39	0.162260204	0.208620263	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2172127
Signaling by FGFR2 in disease	Reactome	R-HSA-5655253	1	39	0.162260204	0.208620263	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655253
@@Signaling by FGFR2	Reactome	R-HSA-5654738	1	66	0.256700987	0.28878861	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654738
GABA B receptor activation	Reactome	R-HSA-977444	1	39	0.162260204	0.208620263	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977444
Activation of GABAB receptors	Reactome	R-HSA-991365	1	39	0.162260204	0.208620263	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-991365
Transport of Mature mRNAs Derived from Intronless Transcripts	Reactome	R-HSA-159234	1	39	0.162260204	0.208620263	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159234
Host Interactions with Influenza Factors	Reactome	R-HSA-168253	1	39	0.162260204	0.208620263	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168253
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	Reactome	R-HSA-110313	1	39	0.162260204	0.208620263	VCP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110313
Ferroptosis	KEGG PATHWAY	hsa04216	1	40	0.165961934	0.211403893	TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa04216/hsa:7157%09red
RNA Polymerase III Transcription	Reactome	R-HSA-74158	1	40	0.165961934	0.211403893	NFIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74158
IRS-mediated signalling	Reactome	R-HSA-112399	1	40	0.165961934	0.211403893	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112399
Activation of gene expression by SREBF (SREBP)	Reactome	R-HSA-2426168	1	40	0.165961934	0.211403893	CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2426168
RNA Polymerase III Abortive And Retractive Initiation	Reactome	R-HSA-749476	1	40	0.165961934	0.211403893	NFIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-749476
Viral Messenger RNA Synthesis	Reactome	R-HSA-168325	1	40	0.165961934	0.211403893	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168325
Protein processing in endoplasmic reticulum	KEGG PATHWAY	hsa04141	2	165	0.168417866	0.214248883	VCP|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa04141/hsa:7415%09red/hsa:581%09red
Graft-versus-host disease	KEGG PATHWAY	hsa05332	1	41	0.169647401	0.215528295	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05332/hsa:7124%09red
RHO GTPase Effectors	Reactome	R-HSA-195258	3	321	0.172956572	0.219034066	MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195258
Factors involved in megakaryocyte development and platelet production	Reactome	R-HSA-983231	2	168	0.173114552	0.219034066	RAD51C|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983231
Deactivation of the beta-catenin transactivating complex	Reactome	R-HSA-3769402	1	42	0.173316676	0.219034066	SOX9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3769402
Type I diabetes mellitus	KEGG PATHWAY	hsa04940	1	43	0.176969829	0.223065373	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa04940/hsa:7124%09red
Signaling by Retinoic Acid	Reactome	R-HSA-5362517	1	43	0.176969829	0.223065373	CRABP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5362517
Alzheimer disease	KEGG PATHWAY	hsa05010	2	171	0.177832533	0.223859777	TNF|ADAM17	http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:7124%09red/hsa:6868%09red
Ubiquitin proteasome pathway	PANTHER	P00060	1	44	0.180606931	0.226169667	PSMD4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00060
IGF1R signaling cascade	Reactome	R-HSA-2428924	1	44	0.180606931	0.226169667	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2428924
Intra-Golgi traffic	Reactome	R-HSA-6811438	1	44	0.180606931	0.226169667	TRIP11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811438
IRS-related events triggered by IGF1R	Reactome	R-HSA-2428928	1	44	0.180606931	0.226169667	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2428928
Signaling by WNT	Reactome	R-HSA-195721	3	329	0.181686889	0.22722659	PSMD4|SOX9|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195721
Basal transcription factors	KEGG PATHWAY	hsa03022	1	45	0.184228051	0.229213971	CCNH	http://www.genome.jp/kegg-bin/show_pathway?hsa03022/hsa:902%09red
Proteasome	KEGG PATHWAY	hsa03050	1	45	0.184228051	0.229213971	PSMD4	http://www.genome.jp/kegg-bin/show_pathway?hsa03050/hsa:5710%09red
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	R-HSA-2404192	1	45	0.184228051	0.229213971	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2404192
Elastic fibre formation	Reactome	R-HSA-1566948	1	45	0.184228051	0.229213971	EFEMP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1566948
HIV Transcription Elongation	Reactome	R-HSA-167169	1	46	0.187833261	0.232497983	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167169
Tat-mediated elongation of the HIV-1 transcript	Reactome	R-HSA-167246	1	46	0.187833261	0.232497983	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167246
Insulin receptor signalling cascade	Reactome	R-HSA-74751	1	46	0.187833261	0.232497983	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74751
Formation of HIV-1 elongation complex containing HIV-1 Tat	Reactome	R-HSA-167200	1	46	0.187833261	0.232497983	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167200
Metabolic pathways	KEGG PATHWAY	hsa01100	9	1433	0.188710818	0.233284361	PIK3CA|HPRT1|PGM1|AZI2|PTEN|DCTPP1|DHCR24|AK1|COX17	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:5728%09red/hsa:10063%09red/hsa:5290%09red/hsa:113451%09red/hsa:5236%09red/hsa:79077%09red/hsa:3251%09red/hsa:203%09red/hsa:1718%09red
Transcription regulation by bZIP transcription factor	PANTHER	P00055	1	47	0.191422629	0.233341762	CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00055
HIV Transcription Initiation	Reactome	R-HSA-167161	1	47	0.191422629	0.233341762	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167161
Interleukin-10 signaling	Reactome	R-HSA-6783783	1	47	0.191422629	0.233341762	TNF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783783
Regulation of Complement cascade	Reactome	R-HSA-977606	1	47	0.191422629	0.233341762	CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977606
RNA Polymerase II Transcription Initiation And Promoter Clearance	Reactome	R-HSA-76042	1	47	0.191422629	0.233341762	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76042
RNA Polymerase II HIV Promoter Escape	Reactome	R-HSA-167162	1	47	0.191422629	0.233341762	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167162
Interleukin-12 signaling	Reactome	R-HSA-9020591	1	47	0.191422629	0.233341762	SERPINB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020591
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	Reactome	R-HSA-73779	1	47	0.191422629	0.233341762	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73779
RNA Polymerase II Transcription Initiation	Reactome	R-HSA-75953	1	47	0.191422629	0.233341762	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75953
RNA Polymerase II Promoter Escape	Reactome	R-HSA-73776	1	47	0.191422629	0.233341762	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73776
Amino sugar and nucleotide sugar metabolism	KEGG PATHWAY	hsa00520	1	48	0.194996225	0.236798694	PGM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00520/hsa:5236%09red
DNA Damage Bypass	Reactome	R-HSA-73893	1	48	0.194996225	0.236798694	VCP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73893
Formation of HIV elongation complex in the absence of HIV Tat	Reactome	R-HSA-167152	1	48	0.194996225	0.236798694	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167152
Intestinal immune network for IgA production	KEGG PATHWAY	hsa04672	1	49	0.198554117	0.239909178	MAP3K14	http://www.genome.jp/kegg-bin/show_pathway?hsa04672/hsa:9020%09red
Malaria	KEGG PATHWAY	hsa05144	1	49	0.198554117	0.239909178	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05144/hsa:7124%09red
Cross-presentation of soluble exogenous antigens (endosomes)	Reactome	R-HSA-1236978	1	49	0.198554117	0.239909178	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236978
Regulation of activated PAK-2p34 by proteasome mediated degradation	Reactome	R-HSA-211733	1	49	0.198554117	0.239909178	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211733
Arginine and proline metabolism	KEGG PATHWAY	hsa00330	1	50	0.202096374	0.242666844	AZI2	http://www.genome.jp/kegg-bin/show_pathway?hsa00330/hsa:113451%09red
Regulation of ornithine decarboxylase (ODC)	Reactome	R-HSA-350562	1	50	0.202096374	0.242666844	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-350562
snRNP Assembly	Reactome	R-HSA-191859	1	50	0.202096374	0.242666844	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-191859
Metabolism of non-coding RNA	Reactome	R-HSA-194441	1	50	0.202096374	0.242666844	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194441
Ubiquitin-dependent degradation of Cyclin D	Reactome	R-HSA-75815	1	51	0.205623065	0.245371762	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75815
p53-Independent DNA Damage Response	Reactome	R-HSA-69610	1	51	0.205623065	0.245371762	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69610
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	Reactome	R-HSA-69601	1	51	0.205623065	0.245371762	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69601
Vpu mediated degradation of CD4	Reactome	R-HSA-180534	1	51	0.205623065	0.245371762	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180534
p53-Independent G1/S DNA damage checkpoint	Reactome	R-HSA-69613	1	51	0.205623065	0.245371762	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69613
Signaling by PTK6	Reactome	R-HSA-8848021	1	52	0.209134257	0.248024987	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8848021
Regulation of Apoptosis	Reactome	R-HSA-169911	1	52	0.209134257	0.248024987	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-169911
Vif-mediated degradation of APOBEC3G	Reactome	R-HSA-180585	1	52	0.209134257	0.248024987	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180585
Signaling by Non-Receptor Tyrosine Kinases	Reactome	R-HSA-9006927	1	52	0.209134257	0.248024987	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006927
Negative regulation of NOTCH4 signaling	Reactome	R-HSA-9604323	1	52	0.209134257	0.248024987	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9604323
Regulation of cholesterol biosynthesis by SREBP (SREBF)	Reactome	R-HSA-1655829	1	53	0.212630018	0.251551238	CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1655829
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	Reactome	R-HSA-8854050	1	53	0.212630018	0.251551238	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8854050
SCF-beta-TrCP mediated degradation of Emi1	Reactome	R-HSA-174113	1	54	0.216110416	0.254418497	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174113
Degradation of AXIN	Reactome	R-HSA-4641257	1	54	0.216110416	0.254418497	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641257
Intraflagellar transport	Reactome	R-HSA-5620924	1	54	0.216110416	0.254418497	TRIP11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5620924
AUF1 (hnRNP D0) binds and destabilizes mRNA	Reactome	R-HSA-450408	1	54	0.216110416	0.254418497	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450408
Transport of small molecules	Reactome	R-HSA-382551	5	720	0.217785074	0.256076955	VCP|SLC39A1|SLC39A2|ADD1|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-382551
Pathogenic Escherichia coli infection	KEGG PATHWAY	hsa05130	1	55	0.219575518	0.256927367	CD14	http://www.genome.jp/kegg-bin/show_pathway?hsa05130/hsa:929%09red
HSP90 chaperone cycle for steroid hormone receptors (SHR)	Reactome	R-HSA-3371497	1	55	0.219575518	0.256927367	FKBP5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371497
Signaling by PDGF	Reactome	R-HSA-186797	1	55	0.219575518	0.256927367	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-186797
purine nucleotides de novo biosynthesis	BioCyc	PWY-841	1	55	0.219575518	0.256927367	AK1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-841
GABA receptor activation	Reactome	R-HSA-977443	1	56	0.223025389	0.260016283	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977443
Neurexins and neuroligins	Reactome	R-HSA-6794361	1	56	0.223025389	0.260016283	SIPA1L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6794361
Degradation of DVL	Reactome	R-HSA-4641258	1	56	0.223025389	0.260016283	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641258
Pyrimidine metabolism	KEGG PATHWAY	hsa00240	1	57	0.226460099	0.263065229	DCTPP1	http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:79077%09red
Signaling by FGFR in disease	Reactome	R-HSA-1226099	1	57	0.226460099	0.263065229	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1226099
@@Signaling by FGFR	Reactome	R-HSA-190236	1	77	0.292070033	0.319254758	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190236
Interleukin-12 family signaling	Reactome	R-HSA-447115	1	57	0.226460099	0.263065229	SERPINB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-447115
mRNA 3'-end processing	Reactome	R-HSA-72187	1	58	0.229879711	0.266074713	THOC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72187
CDT1 association with the CDC6:ORC:origin complex	Reactome	R-HSA-68827	1	58	0.229879711	0.266074713	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68827
GLI3 is processed to GLI3R by the proteasome	Reactome	R-HSA-5610785	1	59	0.233284293	0.268723414	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610785
SCF(Skp2)-mediated degradation of p27/p21	Reactome	R-HSA-187577	1	59	0.233284293	0.268723414	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187577
Degradation of GLI1 by the proteasome	Reactome	R-HSA-5610780	1	59	0.233284293	0.268723414	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610780
Degradation of GLI2 by the proteasome	Reactome	R-HSA-5610783	1	59	0.233284293	0.268723414	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610783
Viral myocarditis	KEGG PATHWAY	hsa05416	1	60	0.236673909	0.27230224	CD55	http://www.genome.jp/kegg-bin/show_pathway?hsa05416/hsa:1604%09red
Muscle contraction	Reactome	R-HSA-397014	2	209	0.238896293	0.274531182	KAT2B|KCNK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-397014
RNA Polymerase II Transcription Elongation	Reactome	R-HSA-75955	1	61	0.240048626	0.275198604	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75955
Formation of RNA Pol II elongation complex 	Reactome	R-HSA-112382	1	61	0.240048626	0.275198604	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112382
Autodegradation of Cdh1 by Cdh1:APC/C	Reactome	R-HSA-174084	1	62	0.243408509	0.278718661	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174084
Alzheimer disease-amyloid secretase pathway	PANTHER	P00003	1	63	0.246753622	0.281537964	ADAM17	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00003
Asymmetric localization of PCP proteins	Reactome	R-HSA-4608870	1	63	0.246753622	0.281537964	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4608870
